decision_date,effective_start_date,effective_end_date,window_start_date,window_end_date,window_observations,fund_id,universe,method,solver,one_way_turnover,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight
2022-02-28,2022-03-01,2022-03-31,2020-01-02,2022-02-28,789,crypto_equal_weight,Crypto,equal_weight,direct,0.04051822865186431,0.1,9.999999999999996,,
2022-03-31,2022-04-01,2022-04-30,2020-01-02,2022-03-31,820,crypto_equal_weight,Crypto,equal_weight,direct,0.04004075397274757,0.1,9.999999999999996,,
2022-04-30,2022-05-01,2022-05-31,2020-01-02,2022-04-30,850,crypto_equal_weight,Crypto,equal_weight,direct,0.04440722090590186,0.1,9.999999999999996,,
2022-05-31,2022-06-01,2022-06-30,2020-01-02,2022-05-31,881,crypto_equal_weight,Crypto,equal_weight,direct,0.07635119632023682,0.1,9.999999999999996,,
2022-06-30,2022-07-01,2022-07-31,2020-01-02,2022-06-30,911,crypto_equal_weight,Crypto,equal_weight,direct,0.062260904092131156,0.1,9.999999999999996,,
2022-07-31,2022-08-01,2022-08-31,2020-01-02,2022-07-31,942,crypto_equal_weight,Crypto,equal_weight,direct,0.10515057503004752,0.1,9.999999999999996,,
2022-08-31,2022-09-01,2022-09-30,2020-01-02,2022-08-31,973,crypto_equal_weight,Crypto,equal_weight,direct,0.021219935025505156,0.1,9.999999999999996,,
2022-09-30,2022-10-01,2022-10-31,2020-01-02,2022-09-30,1003,crypto_equal_weight,Crypto,equal_weight,direct,0.057718278624622144,0.1,9.999999999999996,,
2022-10-31,2022-11-01,2022-11-30,2020-01-02,2022-10-31,1034,crypto_equal_weight,Crypto,equal_weight,direct,0.030994651938395193,0.1,9.999999999999996,,
2022-11-30,2022-12-01,2022-12-31,2020-01-02,2022-11-30,1064,crypto_equal_weight,Crypto,equal_weight,direct,0.06706297554845737,0.1,9.999999999999996,,
2022-12-31,2023-01-01,2023-01-31,2020-01-02,2022-12-31,1095,crypto_equal_weight,Crypto,equal_weight,direct,0.03730462590512456,0.1,9.999999999999996,,
2023-01-31,2023-02-01,2023-02-28,2020-01-02,2023-01-31,1126,crypto_equal_weight,Crypto,equal_weight,direct,0.034601917224557785,0.1,9.999999999999996,,
2023-02-28,2023-03-01,2023-03-31,2020-01-02,2023-02-28,1154,crypto_equal_weight,Crypto,equal_weight,direct,0.02330339261562521,0.1,9.999999999999996,,
2023-03-31,2023-04-01,2023-04-30,2020-01-02,2023-03-31,1185,crypto_equal_weight,Crypto,equal_weight,direct,0.0596507208568145,0.1,9.999999999999996,,
2023-04-30,2023-05-01,2023-05-31,2020-01-02,2023-04-30,1215,crypto_equal_weight,Crypto,equal_weight,direct,0.031202949289222327,0.1,9.999999999999996,,
2023-05-31,2023-06-01,2023-06-30,2020-01-02,2023-05-31,1246,crypto_equal_weight,Crypto,equal_weight,direct,0.030471567941276263,0.1,9.999999999999996,,
2023-06-30,2023-07-01,2023-07-31,2020-01-02,2023-06-30,1276,crypto_equal_weight,Crypto,equal_weight,direct,0.125876656683004,0.1,9.999999999999996,,
2023-07-31,2023-08-01,2023-08-31,2020-01-02,2023-07-31,1307,crypto_equal_weight,Crypto,equal_weight,direct,0.07575423527195266,0.1,9.999999999999996,,
2023-08-31,2023-09-01,2023-09-30,2020-01-02,2023-08-31,1338,crypto_equal_weight,Crypto,equal_weight,direct,0.03875494386228859,0.1,9.999999999999996,,
2023-09-30,2023-10-01,2023-10-31,2020-01-02,2023-09-30,1368,crypto_equal_weight,Crypto,equal_weight,direct,0.021186353438420992,0.1,9.999999999999996,,
2023-10-31,2023-11-01,2023-11-30,2020-01-02,2023-10-31,1399,crypto_equal_weight,Crypto,equal_weight,direct,0.024196764756997544,0.1,9.999999999999996,,
2023-11-30,2023-12-01,2023-12-31,2020-01-02,2023-11-30,1429,crypto_equal_weight,Crypto,equal_weight,direct,0.03213161530738908,0.1,9.999999999999996,,
2020-12-31,2021-01-01,2021-01-31,2020-01-02,2020-12-31,365,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,,0.5244761708560991,2.458020723145047,,
2021-01-31,2021-02-01,2021-02-28,2020-01-02,2021-01-31,396,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.279317428304577,0.6042410281799493,2.328078327662814,,
2021-02-28,2021-03-01,2021-03-31,2020-01-02,2021-02-28,424,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.4253105983321787,0.6562829503694223,1.821995681980346,,
2021-03-31,2021-04-01,2021-04-30,2020-01-02,2021-03-31,455,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.13027237445388454,0.46276211932375844,2.52053864772459,,
2021-04-30,2021-05-01,2021-05-31,2020-01-02,2021-04-30,485,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.29289383118492945,0.4198401429337064,2.8519800380034748,,
2021-05-31,2021-06-01,2021-06-30,2020-01-02,2021-05-31,516,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.13037901322918158,0.5510423808004024,2.284860898689306,,
2021-06-30,2021-07-01,2021-07-31,2020-01-02,2021-06-30,546,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.02892609746154777,0.5676841468468123,2.232446012768554,,
2021-07-31,2021-08-01,2021-08-31,2020-01-02,2021-07-31,577,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.041083536644249165,0.53256155517966,2.156832831077707,,
2021-08-31,2021-09-01,2021-09-30,2020-01-02,2021-08-31,608,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.04194237087350724,0.6215977975467943,1.9124988144181427,,
2021-09-30,2021-10-01,2021-10-31,2020-01-02,2021-09-30,638,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.021943455137775417,0.6118775474798862,1.9046415631220353,,
2021-10-31,2021-11-01,2021-11-30,2020-01-02,2021-10-31,669,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.029668758924961916,0.5233552935532573,1.9956457425669625,,
2021-11-30,2021-12-01,2021-12-31,2020-01-02,2021-11-30,699,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.005256301540701532,0.6050534670596557,1.9154429183913744,,
2021-12-31,2022-01-01,2022-01-31,2020-01-02,2021-12-31,730,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.00571326047903656,0.5853939956045527,1.9433163046363837,,
2022-01-31,2022-02-01,2022-02-28,2020-01-02,2022-01-31,761,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.01949980492176075,0.5425376944032909,1.9856283756942432,,
2022-02-28,2022-03-01,2022-03-31,2020-01-02,2022-02-28,789,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.005095253604878263,0.590488695866078,1.9365718189277101,,
2022-03-31,2022-04-01,2022-04-30,2020-01-02,2022-03-31,820,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.0040493936762389625,0.5788681871683057,1.9575714335336079,,
2022-04-30,2022-05-01,2022-05-31,2020-01-02,2022-04-30,850,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.004804623786445126,0.6381116359019754,1.8582191846120952,,
2022-05-31,2022-06-01,2022-06-30,2020-01-02,2022-05-31,881,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.027870725390119182,0.5750023546353878,1.9947744848494897,,
2022-06-30,2022-07-01,2022-07-31,2020-01-02,2022-06-30,911,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.14379111895142013,0.5403293985120777,2.320029423104322,,
2022-07-31,2022-08-01,2022-08-31,2020-01-02,2022-07-31,942,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.15269057325861607,0.4811362834097301,2.4450378709324214,,
2022-08-31,2022-09-01,2022-09-30,2020-01-02,2022-08-31,973,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.003561903238227599,0.49446714605926684,2.422685086288091,,
2022-09-30,2022-10-01,2022-10-31,2020-01-02,2022-09-30,1003,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.03832300333368971,0.4483711799107992,2.51039817783009,,
2022-10-31,2022-11-01,2022-11-30,2020-01-02,2022-10-31,1034,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.08606909514183729,0.5681346515668073,2.1521737717896747,,
2022-11-30,2022-12-01,2022-12-31,2020-01-02,2022-11-30,1064,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.018027909263027834,0.5593803637881154,2.219802635800639,,
2022-12-31,2023-01-01,2023-01-31,2020-01-02,2022-12-31,1095,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.06394863807666341,0.6100257717066867,2.1345209115654584,,
2023-01-31,2023-02-01,2023-02-28,2020-01-02,2023-01-31,1126,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.037902379929623156,0.5903411455717523,2.0559429971105296,,
2023-02-28,2023-03-01,2023-03-31,2020-01-02,2023-02-28,1154,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.04484892555316406,0.5971345923558098,2.161965091717494,,
2023-03-31,2023-04-01,2023-04-30,2020-01-02,2023-03-31,1185,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.04702414923437577,0.6414859816342795,1.9209816490513139,,
2023-04-30,2023-05-01,2023-05-31,2020-01-02,2023-04-30,1215,crypto_maximum_sharpe,Crypto,maximum_sharpe,SLSQP_multistart,0.007895929539334223,0.6469661053042651,1.9252379643577504,,
