decision_date,effective_start_date,effective_end_date,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,one_way_turnover,one_way_active_shift_from_base,largest_target_weight,effective_number_of_holdings,equity_sleeve_target_weight,crypto_sleeve_target_weight,earliest_signal_source_date,latest_signal_source_date,variant_label
2023-09-29,2023-10-02,2023-10-31,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.07481378369177759,0.005660853627252716,0.37635989900122646,3.146625708678559,0.9999999999999998,0.0,2023-09-28,2023-09-28,Naive Sentiment
2023-10-31,2023-11-01,2023-11-30,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.07468773054334513,0.014736756680370769,0.37219742441730475,3.3078798458023417,0.9999999999999999,0.0,2023-10-30,2023-10-30,Naive Sentiment
2023-11-30,2023-12-01,2023-12-29,equity_maximum_sharpe,equity_maximum_sharpe_naive_sentiment,Equity,maximum_sharpe,naive,1.0,0.070350511954386,0.040704967399758735,0.440900851798086,2.845968078867014,0.9999999999999997,0.0,2023-11-29,2023-11-29,Naive Sentiment
2020-12-31,2021-01-04,2021-01-29,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,,0.04090291865496231,0.2695286754124487,6.615657530472174,1.0000000000000002,0.0,2020-12-30,2020-12-30,Coverage-Aware Rank Sentiment
2021-01-29,2021-02-01,2021-02-26,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.08125842086182246,0.02693871384675899,0.22901684263028715,7.393911442527257,0.9999999999999998,0.0,2021-01-28,2021-01-28,Coverage-Aware Rank Sentiment
2021-02-26,2021-03-01,2021-03-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.05069283140314566,0.048713206669342674,0.2587779330884528,6.932082962703021,0.9999999999999998,0.0,2021-02-25,2021-02-25,Coverage-Aware Rank Sentiment
2021-03-31,2021-04-01,2021-04-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.06711738792623614,0.06164040237575449,0.2550416897352349,7.181207923463517,1.0,0.0,2021-03-30,2021-03-30,Coverage-Aware Rank Sentiment
2021-04-30,2021-05-03,2021-05-28,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.14229694966217735,0.0706559861500377,0.19817187633263053,7.780248575901219,0.9999999999999999,0.0,2021-04-29,2021-04-29,Coverage-Aware Rank Sentiment
2021-05-28,2021-06-01,2021-06-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.08519967722731589,0.03915901064704799,0.23584738039379705,7.668582201088618,1.0000000000000002,0.0,2021-05-27,2021-05-27,Coverage-Aware Rank Sentiment
2021-06-30,2021-07-01,2021-07-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.08453023800609447,0.04239212764970428,0.17319580561561618,8.457051070635183,1.0,0.0,2021-06-29,2021-06-29,Coverage-Aware Rank Sentiment
2021-07-30,2021-08-02,2021-08-31,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.1060404904833518,0.06307890936446543,0.2668017646270252,7.17034547360459,0.9999999999999998,0.0,2021-07-29,2021-07-29,Coverage-Aware Rank Sentiment
2021-08-31,2021-09-01,2021-09-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.046761745792279194,0.02301128673720078,0.22847881628310807,7.805590933666593,1.0,0.0,2021-08-30,2021-08-30,Coverage-Aware Rank Sentiment
2021-09-30,2021-10-01,2021-10-29,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.050799416012431035,0.05825468226853578,0.23122542495847256,7.792642646901913,1.0,0.0,2021-09-29,2021-09-29,Coverage-Aware Rank Sentiment
2021-10-29,2021-11-01,2021-11-30,equity_minimum_variance,equity_minimum_variance_coverage_rank_sentiment,Equity,minimum_variance,coverage_rank,0.25,0.07506972445660269,0.04512082185350149,0.199444316728047,8.402754267840953,0.9999999999999998,0.0,2021-10-28,2021-10-28,Coverage-Aware Rank Sentiment
