observations,total_return,annualized_return,cagr,annualized_volatility,sharpe_ratio,max_drawdown,final_growth_of_one,base_fund_id,fund_id,universe,method,fusion_rule,tilt_strength,variant_label,evaluation_period,period_start,period_end,cost_bps,total_one_way_turnover,average_one_way_turnover,charged_rebalance_count,initial_formation_cost_included,cost_model,base_total_return,base_sharpe_ratio,base_max_drawdown,delta_total_return,delta_sharpe_ratio,delta_max_drawdown,method_label
503,0.21673911701598225,0.11685753908957425,0.10327410398580694,0.19265424878067192,0.6065661143171114,-0.2240045447705511,1.2167391170159823,combined_risk_parity,combined_risk_parity,Combined,risk_parity,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,10.0,0.8200116215788887,0.03565267919908212,23,False,one_way_turnover_times_cost_bps,0.21673911701598225,0.6065661143171114,-0.2240045447705511,0.0,0.0,0.0,Risk Parity
503,0.20884363344250745,0.1133861625653606,0.09968155995016925,0.19155930680934533,0.5919115309715091,-0.22007083035845776,1.2088436334425074,combined_risk_parity,combined_risk_parity_coverage_rank_sentiment,Combined,risk_parity,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,1.6015320036900178,0.06963182624739207,23,False,one_way_turnover_times_cost_bps,0.21673911701598225,0.6065661143171114,-0.2240045447705511,-0.007895483573474804,-0.014654583345602323,0.0039337144120933365,Risk Parity
503,0.2111014061546337,0.11443688021720026,0.10071006718487951,0.19216424633257712,0.595515983858648,-0.2203506921103643,1.2111014061546337,combined_risk_parity,combined_risk_parity_naive_sentiment,Combined,risk_parity,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,1.2725158959961425,0.055326778086788805,23,False,one_way_turnover_times_cost_bps,0.21673911701598225,0.6065661143171114,-0.2240045447705511,-0.005637710861348566,-0.01105013045846337,0.003653852660186807,Risk Parity
503,0.2127542371421247,0.11520522282029999,0.10146239241822319,0.19261103957776535,0.5981236749090215,-0.2246527683279611,1.2127542371421247,combined_risk_parity,combined_risk_parity,Combined,risk_parity,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,50.0,0.8200116215788887,0.03565267919908212,23,False,one_way_turnover_times_cost_bps,0.2127542371421247,0.5981236749090215,-0.2246527683279611,0.0,0.0,0.0,Risk Parity
503,0.20112267377782844,0.11016191398974913,0.0961570851846143,0.19149115545933476,0.5752846063594995,-0.2213615183036557,1.2011226737778284,combined_risk_parity,combined_risk_parity_coverage_rank_sentiment,Combined,risk_parity,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,50.0,1.6015320036900178,0.06963182624739207,23,False,one_way_turnover_times_cost_bps,0.2127542371421247,0.5981236749090215,-0.2246527683279611,-0.011631563364296271,-0.022839068549522,0.0032912500243054144,Risk Parity
503,0.20495141627071178,0.11187422944454693,0.09790624362855138,0.19210551132734258,0.5823582502738106,-0.22142265819018359,1.2049514162707118,combined_risk_parity,combined_risk_parity_naive_sentiment,Combined,risk_parity,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,50.0,1.2725158959961425,0.055326778086788805,23,False,one_way_turnover_times_cost_bps,0.2127542371421247,0.5981236749090215,-0.2246527683279611,-0.00780282087141293,-0.015765424635210912,0.00323011013777752,Risk Parity
503,0.21638038810610105,0.11319334798573708,0.10311113054375998,0.17354447751879673,0.6522440218443541,-0.20249210152511687,1.216380388106101,equity_equal_weight,equity_equal_weight,Equity,equal_weight,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,0.0,0.6651709454921115,0.02892047589096137,23,False,one_way_turnover_times_cost_bps,0.21638038810610105,0.6522440218443541,-0.20249210152511687,0.0,0.0,0.0,Equal Weight
503,0.20495540609745944,0.10821809643743915,0.09790806493050219,0.1721065708194574,0.6287853852538943,-0.1965819725024216,1.2049554060974594,equity_equal_weight,equity_equal_weight_coverage_rank_sentiment,Equity,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,1.5147519472997668,0.06585878031738117,23,False,one_way_turnover_times_cost_bps,0.21638038810610105,0.6522440218443541,-0.20249210152511687,-0.011424982008641615,-0.02345863659045988,0.005910129022695276,Equal Weight
503,0.2067224876041247,0.10910236143926337,0.0987144181377142,0.1729832781927808,0.6307104512013844,-0.19811552328893134,1.2067224876041247,equity_equal_weight,equity_equal_weight_naive_sentiment,Equity,equal_weight,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,0.0,1.1502065422144672,0.05000898009628118,23,False,one_way_turnover_times_cost_bps,0.21638038810610105,0.6522440218443541,-0.20249210152511687,-0.009657900501976346,-0.02153357064296979,0.004376578236185535,Equal Weight
503,0.21557154387089383,0.1128582372530956,0.10274357804534828,0.1735343609465128,0.650350954344316,-0.2026396844834012,1.2155715438708938,equity_equal_weight,equity_equal_weight,Equity,equal_weight,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,10.0,0.6651709454921115,0.02892047589096137,23,False,one_way_turnover_times_cost_bps,0.21557154387089383,0.650350954344316,-0.2026396844834012,0.0,0.0,0.0,Equal Weight
503,0.20313151569831756,0.10745570086146021,0.09707516964558649,0.17208770795588374,0.6244240343360693,-0.19690705823479004,1.2031315156983176,equity_equal_weight,equity_equal_weight_coverage_rank_sentiment,Equity,equal_weight,coverage_rank,0.25,Coverage-Aware Rank Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,1.5147519472997668,0.06585878031738117,23,False,one_way_turnover_times_cost_bps,0.21557154387089383,0.650350954344316,-0.2026396844834012,-0.012440028172576278,-0.0259269200082467,0.00573262624861115,Equal Weight
503,0.20533526899313514,0.10852318233807737,0.09808145342480601,0.17296745026808358,0.6274196802339195,-0.1983748228958816,1.2053352689931351,equity_equal_weight,equity_equal_weight_naive_sentiment,Equity,equal_weight,naive,1.0,Naive Sentiment,development_2021_2022,2021-01-04,2022-12-30,10.0,1.1502065422144672,0.05000898009628118,23,False,one_way_turnover_times_cost_bps,0.21557154387089383,0.650350954344316,-0.2026396844834012,-0.010236274877758689,-0.022931274110396527,0.004264861587519597,Equal Weight
503,0.21234129491771347,0.11151779432252985,0.10127447993922911,0.1734944598189446,0.6427743827607385,-0.20322978991339757,1.2123412949177135,equity_equal_weight,equity_equal_weight,Equity,equal_weight,base,0.0,Base Fund,development_2021_2022,2021-01-04,2022-12-30,50.0,0.6651709454921115,0.02892047589096137,23,False,one_way_turnover_times_cost_bps,0.21234129491771347,0.6427743827607385,-0.20322978991339757,0.0,0.0,0.0,Equal Weight
